=====  ADT-Version 8.1.4 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2015MAY29 210000  3.7  994.1  59.0  3.6 3.6 3.6  none   ON  OFF  -67.56 -71.85  UNIFRM   NA    4.4   13.03  115.25  FCST   GOES15 27.5 
2015MAY29 213000  3.7  994.1  59.0  3.6 3.6 3.5  none   ON  OFF  -71.66 -70.85  UNIFRM   NA    4.4   13.08  115.29  FCST   GOES15 27.5 
2015MAY29 220000  3.7  992.1  59.0  3.6 3.8 3.8  none   ON  OFF  -75.56 -75.66  UNIFRM   NA    4.4   12.95  114.75  SPRL   GOES15 27.9 
2015MAY29 223000  3.7  992.1  59.0  3.6 3.8 3.8  none   ON  OFF  -75.06 -76.19  UNIFRM   NA    4.4   13.09  114.79  SPRL   GOES15 27.9 
2015MAY29 230000  3.7  992.1  59.0  3.7 3.8 3.7  none  OFF  OFF  -74.06 -76.38  UNIFRM   NA    4.4   13.13  114.83  SPRL   GOES15 27.9 
2015MAY29 233000  3.7  992.1  59.0  3.7 3.7 3.7  none  OFF  OFF  -74.06 -74.32  UNIFRM   NA    4.4   13.07  114.97  SPRL   GOES15 27.8 
2015MAY30 000000  3.7  992.0  59.0  3.7 3.7 3.7  none  OFF  OFF  -72.06 -74.05  UNIFRM   NA   12.5   13.22  115.02  SPRL   GOES15 27.8 
2015MAY30 003000  3.7  992.0  59.0  3.7 3.7 3.7  none  OFF  OFF  -70.66 -73.36  EMBC     NA   12.5   13.16  115.06  SPRL   GOES15 27.7 
2015MAY30 010000  3.7  992.0  59.0  3.7 3.8 3.7  none  OFF  OFF  -72.06 -74.32  UNIFRM   NA   12.5   13.30  115.10  SPRL   GOES15 27.8 
2015MAY30 013000  3.7  992.0  59.0  3.7 3.8 3.8  none  OFF  OFF  -73.06 -74.91  UNIFRM   NA   12.5   13.24  115.15  SPRL   GOES15 27.7 
